Plaque d'immatriculation;Agent;Date de depart;Date d'echeance;Creneau horaire de passage;Type d'intervention;Heure de passage prevu;Duree;Commentaires;Identifiant externe;Identifiant externe client;Prenom;Nom;Mobile;Telephone;Courriel;Adresse;Latitude;Longitude;Competence;Agent privilegie;Poids;Volume;Référence de commande;Hub;Partner;ID;VILLE;Pays;CS;Expéditeur
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:17;5;;KB6HEQOB;701369;;EUROSOL KENITRA;2,12537E+11;2,12537E+11;;N°10, Avenue Moulay Abdelaziz Kénitra;34.260559;-6.587522;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:31;5;;6FEKPURI;701206;;ESSAYAD;2,12621E+11;2,12621E+11;;LOT LE VALLON N 2127 Kénitra;34.266994;-6.60389;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:39;5;;KGO1TBN9;701948;;ISMAILI TRANSFERT;2,12666E+11;2,12666E+11;;N° 1112 LOTIS ISMAILIA KENITRA Kénitra;34.275296;-6.605476;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:46;5;;LON43OFA;004840;;Chaabi Cash K-Business;2,12612E+11;2,12612E+11;;N96 Magasin N1 Bloc C Haouzia Kenitra Kénitra;34.2706639;-6.6108697;;;1;0;DM220385952;M2T;M2T;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:53;5;;ME5HX6TK;700383;;OULEDOUJIH;2,12537E+11;2,12537E+11;;1 Bloc C Ouled Oujih Kénitra;34.2659355;-6.6165085;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;11:58;5;;XFRQITYA;700657;;TAIBIA;2,12662E+11;2,12662E+11;;193 TAIBIA BOUTIQUE N 3 Kénitra;34.26604;-6.6165;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;12:06;5;;VMWMX8UX;702222;;FLORIDA ELHADADA;2,12666E+11;2,12666E+11;;N 2093 LOTISSEMENT HADDADA MAGASIN N2 Kénitra;34.266725;-6.626762;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;12:16;5;;NLFJUELK;097787;;SFT MEHDIA;2,12213E+11;2,12213E+11;;2174 KASBAT MEHDIA KENITRA CASABLANCA;34.266485;-6.643601;;;1;0;DM220385952;M2T;BARID CASH;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;12:25;5;;BQPOR1ET;700137;;ALLIANCE MEHDIA;2,12664E+11;2,12664E+11;;ROUTE DE MEHDIA B4/04 ALLIANCE DARNA Kénitra;34.25072;-6.6534133;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;12:31;5;;YENCLXYM;701137;;MEHDIA MALL KENITRA;2,12679E+11;2,12679E+11;;centre commercial (mehdia mall) n du magazin 24 al Kénitra;34.2464375;-6.6555625;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;12:43;5;;EX1UTXZY;701320;;ALIENCE KASBA;2,12661E+11;2,12661E+11;;MAG S1/2 IMMEUBLE 9 ALIANCE DARNA KENITRA Kénitra;34.255706;-6.649491;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:04;5;;FMTV15ZV;097987;;PMS SIDI TAIBI;2,12213E+11;2,12213E+11;;KITAA NÃ¸Ã¿1Ã¿ ,50 BIS S1Ã¿ MAG NÃ¸ 3 SIDI TAIBIÃ¿ 14025 KENITRA CASABLANCA;34.190574;-6.680671;;;1;0;DM220385952;M2T;BARID CASH;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:24;5;;HNDKDXTC;700712;;GOLF MEHDIA;2,1263E+11;2,1263E+11;;MAG N2IMM165AGH93RESDUGOLFROUTEDEMEHDIAKENITR Kénitra;34.249365;-6.6376194;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:33;5;;QI1ENMUA;004841;;Tasshilat 2 YSH;2,12657E+11;2,12657E+11;;Bloc M N158 Ouled Oujih Kenitra Kénitra;34.2561045;-6.6253831;;;1;0;DM220385952;M2T;M2T;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:40;5;;UDEA9NTP;701123;;LAMSSALA LAKDIMA;2,1266E+11;2,1266E+11;;MAGASIN N2 N216,BLOC L LOTISSEMENT OULED OUJIH Kénitra;34.26174;-6.623779;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:46;5;;NMU5DSMW;083687;;BC KENITRA OULAD OUJIH;2,12213E+11;2,12213E+11;;NÃ¸367 Bloc K Oulad Oujih 14000 KENITRA CASABLANCA;34.2607013;-6.6201317;;;1;0;DM220385952;M2T;BARID CASH;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;13:52;5;;R49LET2E;701799;;OULED OUJIH DOUBLE VOIX;2,12661E+11;2,12661E+11;;199 LOT BASMA N 1OULED OUJIH Kénitra;34.259297;-6.615799;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;14:39;5;;NHH92AKG;083439;;BC KENITRA ANCIENNE MEDINA;2,12213E+11;2,12213E+11;;Avenue Roi Housseine Ancienne Mâ€šdina 14014 KENITRA CASABLANCA;34.2653687;-6.5727961;;;1;0;DM220385952;M2T;BARID CASH;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;14:47;5;;4Q14FDNY;700645;;Place municipalite;2,12661E+11;2,12661E+11;;RUE AMIRA AICHA N 18 Centre ville Kénitra;34.26802;-6.56383;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;14:52;5;;3DGBAHAK;701024;;Bab fes;2,12645E+11;2,12645E+11;;IMMEUBLE H N 41 ANGLE AV MED 5 ET ROUTE 206 ARSA Kénitra;34.268174;-6.562821;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;14:58;5;;KACYT0XX;700344;;KHABBAZAT;2,12537E+11;2,12537E+11;;115 Bd Mohamed V Kénitra;34.2658;-6.56404;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:08;5;;9N7Z5LSQ;004830;;Chaabi Cash Tasshilat Alhanaa;2,12666E+11;2,12666E+11;;Rue 325 N41 La Cigogne Kenitra Kénitra;34.2603828;-6.5680867;;;1;0;DM220385952;M2T;M2T;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:16;5;;6WHHADC9;701524;;ALALMA;2,12669E+11;2,12669E+11;;19 C AL HIZAM MAG N 5 Kénitra;34.254456;-6.55523;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:25;5;;RMUXLVL5;700049;;CITY UNIVERSITAIRE;2,12699E+11;2,12699E+11;;33 N°2 AV LA MARCHE VERTE Kénitra;34.2516142;-6.5538195;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:33;5;;L39N4NFH;700465;;La marche verte;2,12537E+11;2,12537E+11;;Quartier administratif N61Local N1 Kénitra;34.247185;-6.553676;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:42;5;;PDQ5HGF6;701717;;Kenitra El Wafa;2,12661E+11;2,12661E+11;;AL OUAFAA 01 N 518 Kénitra;34.2345625;-6.5503125;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;15:47;5;;UR8HCJOL;004861;;Chaabi Cash soliste Innov;2,12624E+11;2,12624E+11;;Magasin N7 Rdc Immeuble Angle Rue Ibn Batouta Et Rue Saad Zaghloul Kenitra Kenitra Kénitra;34.23452;-6.55036;;;1;0;DM220385952;M2T;M2T;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;16:09;5;;XC7AQMK8;700427;;KENELFOUARAT;2,12537E+11;2,12537E+11;;Rue Elmanzeh Tranch AN° 364 Elfouarat Kenitra Kénitra;34.2524;-6.52223;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;16:34;5;;FGLKURSR;083901;;BC KENITRA KHABBAZATE;2,12602E+11;2,12602E+11;;218 RESIDENCE DIOURI BOULVARD MOHAMED 5 QUARTIER KHABBAZATE 14042 KENITRA Kénitra;34.25426;-6.55526;;;1;0;DM220385952;M2T;BARID CASH;;;;;
82878-H-6;Abdessamad Hmine;30/03/2022;;10:00-19:00;;16:52;5;;AC0OE7TA;701727;;MIMOSA MAHKAMA;2,12643E+11;2,12643E+11;;MAGAZIN N7 RUE MISR ET RUE ZEMZEM MIMOSA IMM SOUHA Kénitra;34.253171;-6.595009;;;1;0;DM220385952;M2T;CASH PLUS;;;;;
