Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Prenom;Référence de commande;Telephone;Type;Type d'intervention;Volume
N°10, Avenue Moulay Abdelaziz Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:17;M2T;701369;34.260559;-6.587522;2,12537E+11;EUROSOL KENITRA;CASH PLUS;82878-H-6;1;;DM220385952;2,12537E+11;;;0
LOT LE VALLON N 2127 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:31;M2T;701206;34.266994;-6.60389;2,12621E+11;ESSAYAD;CASH PLUS;82878-H-6;1;;DM220385952;2,12621E+11;;;0
N° 1112 LOTIS ISMAILIA KENITRA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:39;M2T;701948;34.275296;-6.605476;2,12666E+11;ISMAILI TRANSFERT;CASH PLUS;82878-H-6;1;;DM220385952;2,12666E+11;;;0
N96 Magasin N1 Bloc C Haouzia Kenitra Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:46;M2T;004840;34.2706639;-6.6108697;2,12612E+11;Chaabi Cash K-Business;M2T;82878-H-6;1;;DM220385952;2,12612E+11;;;0
1 Bloc C Ouled Oujih Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:53;M2T;700383;34.2659355;-6.6165085;2,12537E+11;OULEDOUJIH;CASH PLUS;82878-H-6;1;;DM220385952;2,12537E+11;;;0
193 TAIBIA BOUTIQUE N 3 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;11:58;M2T;700657;34.26604;-6.6165;2,12662E+11;TAIBIA;CASH PLUS;82878-H-6;1;;DM220385952;2,12662E+11;;;0
N 2093 LOTISSEMENT HADDADA MAGASIN N2 Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;12:06;M2T;702222;34.266725;-6.626762;2,12666E+11;FLORIDA ELHADADA;CASH PLUS;82878-H-6;1;;DM220385952;2,12666E+11;;;0
2174 KASBAT MEHDIA KENITRA CASABLANCA;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;12:16;M2T;097787;34.266485;-6.643601;2,12213E+11;SFT MEHDIA;BARID CASH;82878-H-6;1;;DM220385952;2,12213E+11;;;0
ROUTE DE MEHDIA B4/04 ALLIANCE DARNA Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;12:25;M2T;700137;34.25072;-6.6534133;2,12664E+11;ALLIANCE MEHDIA;CASH PLUS;82878-H-6;1;;DM220385952;2,12664E+11;;;0
centre commercial (mehdia mall) n du magazin 24 al Kénitra;Abdessamad Hmine;;;;;10:00-19:00;;30/03/2022;5;;12:31;M2T;701137;34.2464375;-6.6555625;2,12679E+11;MEHDIA MALL KENITRA;CASH PLUS;82878-H-6;1;;DM220385952;2,12679E+11;;;0
