LOCALITE;AGENCE;0;1;2;3;4;5;J1;J2;J3
Agadir;Agence agadir;0;0;0;0;0;0;1;0;0
Guelmim;Agence Guelmim;0;0;0;0;0;0;1;0;0
Biougra;Agence agadir;0;0;0;0;0;0;1;0;0
Tan tan;Agence Guelmim;1;0;1;0;0;0;0;0;0
Ait melloul;Agence agadir;0;0;0;0;0;0;1;0;0
Taroudant;Agence Taroudant;0;0;0;0;0;0;1;0;0
Sidi ifni;Agence Tiznit;1;0;1;0;0;0;0;0;0
Taliouine;Agence Taroudant;1;0;1;0;0;0;0;0;0
Houara;Agence tanger;0;0;0;0;0;0;0;1;0
Tiznit;Agence Tiznit;0;0;0;0;0;0;1;0;0
Ait amira;Agence agadir;0;0;0;0;0;0;0;1;0
Ait aiaazza;Agence Taroudant;0;0;0;0;0;0;1;0;0
Taghazout;Agence agadir;0;0;0;0;0;0;1;0;0
Ait baha;Agence agadir;0;0;0;0;1;0;0;0;0
Tafraout;Agence Tiznit;0;0;0;0;1;0;0;0;0
Ait daoud;Agence agadir;0;1;0;0;0;0;0;0;0
Akka;Agence Taroudant;0;0;0;1;0;0;0;0;0
Aoufous;Agence Errachidia;0;0;0;0;1;0;0;0;0
Aoulouz;Agence Taroudant;1;0;1;0;0;0;0;0;0
Aourir;Agence agadir;0;0;0;0;0;0;1;0;0
Assa;Agence Guelmim;0;0;0;0;0;1;0;0;0
Bouizakarne;Agence Guelmim;0;1;0;1;0;0;0;0;0
Dcheira el jihadia;Agence agadir;0;0;0;0;0;0;1;0;0
Drargua;Agence agadir;0;0;0;0;0;0;1;0;0
El ouatia;Agence laayoune;1;0;0;0;0;0;0;0;0
Fam el hisn;Agence Guelmim;0;0;0;1;0;0;0;0;0
Ifrane atlas saghir;Agence Guelmim;0;0;0;1;0;0;0;0;0
Imouzzer des ida outanane;Agence agadir;0;1;0;0;0;0;0;0;0
Inezgane;Agence agadir;0;0;0;0;0;0;1;0;0
Igherm;Agence Taroudant;0;0;0;1;0;0;0;0;0
Lakhsas;Agence Tiznit;0;0;0;0;0;1;0;0;0
Lqliaa;Agence agadir;0;0;0;0;0;0;1;0;0
Massa;Agence Tiznit;0;1;0;1;0;0;0;0;0
Oulad berhil;Agence Taroudant;1;0;1;0;0;0;0;0;0
Oulad teima;Agence agadir;0;0;0;0;0;0;1;0;0
Oum el guerdane;Agence Taroudant;0;1;0;0;0;1;0;0;0
Sebt el guerdane;Agence Taroudant;0;1;0;0;0;1;0;0;0
Taghjijt;Agence Guelmim;0;1;0;1;0;0;0;0;0
Tamanar;Agence agadir;0;1;0;0;0;0;0;0;0
Tata;Agence Taroudant;0;0;0;1;0;0;0;0;0
Temsia;Agence agadir;0;0;0;0;0;0;1;0;0
Zag;Agence Guelmim;0;0;0;0;0;1;0;0;0
Lagfifat;Agence agadir;0;0;0;0;0;0;1;0;0
Ait igas;Agence Taroudant;1;0;1;0;0;0;0;0;0
Ouijjane;Agence Tiznit;0;0;0;0;0;0;1;0;0
Sidi bibi;Agence agadir;1;0;1;0;1;0;0;0;0
Bounaamane;Agence Tiznit;1;0;0;0;0;0;0;0;0
Mirleft;Agence Tiznit;1;0;0;0;0;0;0;0;0
Belfaa;Agence agadir;1;0;1;0;1;0;0;0;0
Argana;Agence agadir;0;0;0;1;0;0;0;0;0
Agence taroudant;Agence Taroudant;0;0;0;0;0;0;1;0;0
Igherm;Agence Taroudant;0;0;0;1;0;0;0;0;0
Tanalt;Agence tiznit;0;0;0;0;1;0;0;0;0
Imsouane;Agence agadir;0;1;0;0;0;0;0;0;0
Sidi moussa hamri;Agence Taroudant;0;1;0;0;0;1;0;0;0
Ida ou semlal;Agence Tiznit;0;0;0;0;1;0;0;0;0
Aglou;Agence Tiznit;1;0;1;0;1;0;0;0;0
Timoulay;Agence Tiznit;1;0;1;0;1;0;0;0;0
Anza;Agence agadir;0;0;0;0;0;0;1;0;0
Tin mansour;Agence agadir;1;0;1;0;1;0;0;0;0
Tikiouine;Agence agadir;0;0;0;0;0;0;1;0;0
Khmis ait wafka;Agence Tiznit;0;0;0;0;1;0;0;0;0
Tighmi;Agence Tiznit;0;0;0;0;1;0;0;0;0
Chtouka ait baha;Agence agadir;0;0;0;0;1;0;0;0;0
Tamri;Agence agadir;0;1;0;0;0;0;0;0;0
Amskroud;Agence agadir;0;0;0;0;0;0;1;0;0
Tissint;Agence Taroudant;0;0;0;1;0;0;0;0;0
Lakhssas;Agence Tiznit;0;0;0;0;0;1;0;0;0
Tamait;Agence agadir;0;0;0;0;0;0;1;0;0
Tighirt;Agence Tiznit;0;0;0;0;0;1;0;0;0
Anzi;Agence Tiznit;0;0;0;0;1;0;0;0;0
Tizoughrane;Agence Tiznit;0;0;0;0;1;0;0;0;0
Ait iaaza;Agence Taroudant;0;0;0;0;0;0;1;0;0
Arbaa sahel;Agence Tiznit;1;0;1;0;1;0;0;0;0
Tioughza;Agence Tiznit;0;0;1;0;0;0;0;0;0
Zaouia sidi tahar;Agence Taroudant;0;1;0;0;0;1;0;0;0
Bensergao;Agence agadir;0;0;0;0;0;0;1;0;0
Issafen;Agence Taroudant;0;0;0;1;0;0;0;0;0
Machraa el ain;Agence Taroudant;0;1;0;0;0;1;0;0;0
Tadrart;Agence agadir;0;1;0;0;0;0;0;0;0
Oulad aarfa;Agence Taroudant;0;0;0;0;0;0;1;0;0
Abaynou;Agence Guelmim;0;0;0;0;0;0;1;0;0
Ida ougnidif;Agence agadir;0;0;0;0;1;0;0;0;0
Adis;Agence Taroudant;0;0;0;1;0;0;0;0;0
Tagante;Agence Guelmim;0;1;0;1;0;0;0;0;0
Tafingoult;Agence Taroudant;1;0;1;0;0;0;0;0;0
Tamraght;Agence agadir;0;0;0;0;0;0;1;0;0
Ait boutayeb;Agence agadir;0;0;0;0;0;0;0;1;0
Ouzioua;Agence Taroudant;1;0;1;0;0;0;0;0;0
Tazmourte;Agence Taroudant;0;0;0;0;0;0;1;0;0
Ouled jerrar;Agence fès;1;0;0;0;0;0;0;0;0
El koudia el beida;Agence Taroudant;0;0;0;0;0;0;1;0;0
Oulad tarna;Agence Taroudant;0;0;0;0;0;0;1;0;0
Nador;Agence nador;0;0;0;0;0;0;1;0;0
Zaio;Agence nador;0;1;0;0;0;0;0;0;0
Bni Bouifrour;Agence nador;0;0;0;0;0;0;1;0;0
Bni bouayach;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Al hoceima;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Zeghanghane;Agence nador;0;0;0;0;0;0;1;0;0
Targuist;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Issaguen;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Boudinar;Agence nador;1;0;1;0;1;0;0;0;0
Ajdir hoceima;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Al aroui;Agence nador;1;0;1;0;1;0;0;0;0
Ben taieb;Agence nador;1;0;1;0;1;0;0;0;0
Beni chiker;Agence nador;0;0;0;0;0;1;0;0;0
Beni ensar;Agence nador;0;0;0;0;0;1;0;0;0
Bni hadifa;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Dar el kebdani;Agence nador;1;0;1;0;1;0;0;0;0
Driouch;Agence nador;1;0;1;0;1;0;0;0;0
Farkhana;Agence nador;0;0;0;0;0;1;0;0;0
Ihddaden;Agence nador;0;0;0;0;0;0;1;0;0
Imzouren;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Jaadar;Agence nador;0;0;0;0;0;0;1;0;0
Kariat arekmane;Agence nador;0;1;0;0;0;0;0;0;0
Kassita;Agence nador;1;0;1;0;1;0;0;0;0
Kerouna;Agence nador;1;0;1;0;1;0;0;0;0
Midar;Agence nador;1;0;1;0;1;0;0;0;0
Ras el ma;Agence nador;0;1;0;0;0;0;0;0;0
Selouane;Agence nador;1;0;1;0;1;0;0;0;0
Sidi bouafif;Agence AL Houceima;1;0;1;0;1;0;0;0;0
Tafrisset;Agence nador;1;0;1;0;1;0;0;0;0
Tamassint;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Tiztoutine;Agence nador;1;0;1;0;1;0;0;0;0
Touima;Agence nador;0;0;0;0;0;0;1;0;0
Ait youssef ou ali;Agence AL Houceima;1;0;1;0;1;0;0;0;0
Ain zohra;Agence nador;1;0;1;0;1;0;0;0;0
Ait kamra;Agence AL Houceima;0;0;0;0;0;0;1;0;0
Beni sidel louta;Agence nador;1;0;1;0;1;0;0;0;0
Trougout;Agence AL Houceima;0;0;0;0;0;1;0;0;0
Temsamane;Agence AL Houceima;1;0;1;0;0;0;0;0;0
Iaazanene;Agence nador;1;0;1;0;1;0;0;0;0
Bni boufrah;Agence AL Houceima;0;0;0;0;1;0;0;0;0
Ifarni;Agence nador;1;0;1;0;1;0;0;0;0
Tafersit;Agence nador;1;0;1;0;1;0;0;0;0
Beni abdellah;Agence AL Houceima;0;1;0;1;0;0;0;0;0
Rouadi;Agence AL Houceima;0;0;0;0;1;0;0;0;0
Beni sidal jbel;Agence nador;1;0;1;0;1;0;0;0;0
Tsaft;Agence nador;1;0;1;0;1;0;0;0;0
Abdelghaya souahel;Agence tétouan;0;1;0;0;1;0;0;0;0
Azlaf;Agence nador;1;0;1;0;1;0;0;0;0
Khémisset;Agence khémisset;0;0;0;0;0;0;1;0;0
Tiflet;Agence khémisset;1;0;1;0;1;0;0;0;0
Maaziz;Agence khémisset;0;1;0;1;0;0;0;0;0
Oulmès;Agence khémisset;0;1;0;0;0;0;0;0;0
Rommani;Agence khémisset;0;0;0;1;0;0;0;0;0
Sidi allal el bahraoui;Agence khémisset;1;0;1;0;0;0;0;0;0
Tidass;Agence khémisset;0;1;0;0;0;0;0;0;0
Ait yadin;Agence khémisset;1;0;0;0;0;0;0;0;0
Ain sbit;Agence khémisset;0;1;0;0;0;0;0;0;0
Ezzhiliga;Agence khémisset;0;0;0;1;0;0;0;0;0
El brachoua;Agence khémisset;0;1;0;0;0;0;0;0;0
El kansera;Agence khémisset;1;0;0;0;0;0;0;0;0
Sidi abderrazzak;Agence khémisset;0;0;1;0;0;0;0;0;0
Merchouch;Agence khémisset;0;1;0;0;0;0;0;0;0
Laghoualem;Agence khémisset;0;0;0;1;0;0;0;0;0
Sfassif;Agence khémisset;0;0;0;0;0;1;0;0;0
Beni mellal;Agence Beni mellal;0;0;0;0;0;0;1;0;0
Fkih ben salah;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Kasba tadla;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Sidi jaber;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Aghbala;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Souk sebt oulad nemma;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Ouaouizeght;Agence Beni mellal;1;0;0;0;0;0;0;0;0
Ait ishaq;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Azilal;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Bradia;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Bzou;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Dar ould zidouh;Agence Beni mellal;0;0;0;0;1;0;0;0;0
El ksiba;Agence Beni mellal;0;0;1;0;0;0;0;0;0
Foum jamaa;Agence Beni mellal;0;0;0;1;0;0;0;0;0
Oulad ayad;Agence Beni mellal;0;0;0;0;1;0;0;0;0
Oulad Bourahmoun;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Oulad m'barek;Agence Beni mellal;1;0;0;1;0;0;0;0;0
Oulad mrah;Agence Beni mellal;0;1;0;0;1;0;0;0;0
Oulad yaich;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Tighassaline;Agence meknès;0;0;1;0;0;0;0;0;0
Zaouiat cheikh;Agence Beni mellal;0;0;0;0;0;1;0;0;0
Ouled moussa;Agence Beni mellal;1;0;0;0;0;0;0;0;0
