
Plaque d'immatriculation;Agent;Date de depart;Date d'echeance;Creneau horaire de passage;Type d'intervention;Heure de passage prevu;Duree;Commentaires;Identifiant externe;Identifiant externe client;Prenom;Nom;Mobile;Telephone;Courriel;Adresse;Latitude;Longitude;Competence;Agent privilegie;Poids;Volume;Référence de commande;Hub;Partner;ID;VILLE;Pays;CS;Expéditeur
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:00;5;;IP7QMOFZ;004830;Passage CNSS;Chaabi Cash Tasshilat Alhanaa;+212665629266;+212665629266;;Rue 325 N41 La Cigogne Kenitra Kénitra;34.2603828;-6.5680867;;;1;0;DM220497837;M2T;M2T;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:10;5;;AO5H19SO;701524;Passage CNSS;ALALMA;+212669034341;+212669034341;;19 C AL HIZAM MAG N 5 Kénitra;34.254456;-6.55523;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:23;5;;RHQPMOUL;700049;Passage CNSS;CITY UNIVERSITAIRE;+212699446929;+212699446929;;33 N°2 AV LA MARCHE VERTE Kénitra;34.2516142;-6.5538195;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;09:00-17:00;;10:33;5;;5JLOKMGV___;;;inwi, MOUHCINE WATIQ;+212661971003;+212661971003;;00 SAKNIA HAY ALWAFAA 1 IMMEUBLE N°899 1er étage Kénitra;34.2498709;-6.5573217;;;1;0;;;;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:40;5;;FB11ZQCO;700465;Passage CNSS;La marche verte;+212537313495;+212537313495;;Quartier administratif N61Local N1 Kénitra;34.247185;-6.553676;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:53;5;;71PBXH8T;701717;Passage CNSS;Kenitra El Wafa;+212661116880;+212661116880;;AL OUAFAA 01 N 518 Kénitra;34.2345625;-6.5503125;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;10:58;5;;DGVFFYMV;004861;Passage CNSS;Chaabi Cash soliste Innov;+212623731949;+212623731949;;Magasin N7 Rdc Immeuble Angle Rue Ibn Batouta Et Rue Saad Zaghloul Kenitra Kenitra Kénitra;34.23452;-6.55036;;;1;0;DM220497837;M2T;M2T;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;11:20;5;;FWDYPBSV;700427;Passage CNSS;KENELFOUARAT;+212537383678;+212537383678;;Rue Elmanzeh Tranch AN° 364 Elfouarat Kenitra Kénitra;34.2524;-6.52223;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;11:50;5;;KSTRQD8C;701995;Passage CNSS;KENITRA MED 5;+212537321390;+212537321390;;123 AVE MED 5 Kénitra;34.271129;-6.559399;;;1;0;DM220497837;M2T;CASH PLUS;;;;;
34592-B-7;" Ahmed Timezguid";18/04/2022;;10:00-19:00;;11:55;5;;S8AUY7ML;083687;Passage CNSS;BC KENITRA OULAD OUJIH;+212700087059;+212700087059;;Nø367 Bloc K Oulad Oujih 14000 KENITRA Kénitra;34.27108;-6.5595;;;1;0;DM220497837;M2T;BARID CASH;;;;;
