Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume
Rue 325 N41 La Cigogne Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;004830;34.2603828;-6.5680867;+212665629266;Chaabi Cash Tasshilat Alhanaa;M2T;34592-B-7;1;DM220497837;+212665629266;;;0
19 C AL HIZAM MAG N 5 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:10;M2T;701524;34.254456;-6.55523;+212669034341;ALALMA;CASH PLUS;34592-B-7;1;DM220497837;+212669034341;;;0
33 N°2 AV LA MARCHE VERTE Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:23;M2T;700049;34.2516142;-6.5538195;+212699446929;CITY UNIVERSITAIRE;CASH PLUS;34592-B-7;1;DM220497837;+212699446929;;;0
Quartier administratif N61Local N1 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:40;M2T;700465;34.247185;-6.553676;+212537313495;La marche verte;CASH PLUS;34592-B-7;1;DM220497837;+212537313495;;;0
AL OUAFAA 01 N 518 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:53;M2T;701717;34.2345625;-6.5503125;+212661116880;Kenitra El Wafa;CASH PLUS;34592-B-7;1;DM220497837;+212661116880;;;0
Magasin N7 Rdc Immeuble Angle Rue Ibn Batouta Et Rue Saad Zaghloul Kenitra Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:58;M2T;004861;34.23452;-6.55036;+212623731949;Chaabi Cash soliste Innov;M2T;34592-B-7;1;DM220497837;+212623731949;;;0
Rue Elmanzeh Tranch AN° 364 Elfouarat Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:20;M2T;700427;34.2524;-6.52223;+212537383678;KENELFOUARAT;CASH PLUS;34592-B-7;1;DM220497837;+212537383678;;;0
123 AVE MED 5 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:50;M2T;701995;34.271129;-6.559399;+212537321390;KENITRA MED 5;CASH PLUS;34592-B-7;1;DM220497837;+212537321390;;;0
Nø367 Bloc K Oulad Oujih 14000 KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:55;M2T;083687;34.27108;-6.5595;+212700087059;BC KENITRA OULAD OUJIH;BARID CASH;34592-B-7;1;DM220497837;+212700087059;;;0
IMMEUBLE H N 41 ANGLE AV MED 5 ET ROUTE 206 ARSA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:02;M2T;701024;34.268174;-6.562821;+212644508530;Bab fes;CASH PLUS;34592-B-7;1;DM220497837;+212644508530;;;0
RUE AMIRA AICHA N 18 Centre ville Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:07;M2T;700645;34.26802;-6.56383;+212661170182;Place municipalite;CASH PLUS;34592-B-7;1;DM220497837;+212661170182;;;0
115 Bd Mohamed V Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:14;M2T;700344;34.2658;-6.56404;+212537377378;KHABBAZAT;CASH PLUS;34592-B-7;1;DM220497837;+212537377378;;;0
MAGAZIN N7 RUE MISR ET RUE ZEMZEM MIMOSA IMM SOUHA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:12;M2T;701727;34.253171;-6.595009;+212643078562;MIMOSA MAHKAMA;CASH PLUS;34592-B-7;1;DM220497837;+212643078562;;;0
RUE 10 N 284 BIR RAMI OUESTAlmaghreb arabi Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:23;M2T;700976;34.25573;-6.60342;+212661607913;MASJID BADR;CASH PLUS;34592-B-7;1;DM220497837;+212661607913;;;0
Magasin N6 Rdc Immeuble 05 Bloc Gh2 Bir Rami Kenitra Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:36;M2T;004855;34.2451862;-6.6148453;+212661560119;Chaabi Cash Qorelain;M2T;34592-B-7;1;DM220497837;+212661560119;;;0
centre commercial (mehdia mall) n du magazin 24 al Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;14:31;M2T;701137;34.2464375;-6.6555625;+212678847623;MEHDIA MALL KENITRA;CASH PLUS;34592-B-7;1;DM220497837;+212678847623;;;0
MAG S1/2 IMMEUBLE 9 ALIANCE DARNA KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;14:51;M2T;701320;34.255706;-6.649491;+212661062038;ALIENCE KASBA;CASH PLUS;34592-B-7;1;DM220497837;+212661062038;;;0
2174 KASBAT MEHDIA KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:09;M2T;097787;34.266485;-6.643601;+212664405278;SFT MEHDIA;BARID CASH;34592-B-7;1;DM220497837;+212664405278;;;0
N 2093 LOTISSEMENT HADDADA MAGASIN N2 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:22;M2T;702222;34.266725;-6.626762;+212665693274;FLORIDA ELHADADA;CASH PLUS;34592-B-7;1;DM220497837;+212665693274;;;0
Bloc M N158 Ouled Oujih Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:33;M2T;004841;34.2561045;-6.6253831;+212657146135;Tasshilat 2 YSH;M2T;34592-B-7;1;DM220497837;+212657146135;;;0
199 LOT BASMA N 1OULED OUJIH Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;15:54;M2T;701799;34.259297;-6.615799;+212661161724;OULED OUJIH DOUBLE VOIX;CASH PLUS;34592-B-7;1;DM220497837;+212661161724;;;0
1 Bloc C Ouled Oujih Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:03;M2T;700383;34.2659355;-6.6165085;+212537353778;OULEDOUJIH;CASH PLUS;34592-B-7;1;DM220497837;+212537353778;;;0
193 TAIBIA BOUTIQUE N 3 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:08;M2T;700657;34.26604;-6.6165;+212661849877;TAIBIA;CASH PLUS;34592-B-7;1;DM220497837;+212661849877;;;0
N96 Magasin N1 Bloc C Haouzia Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:35;M2T;004840;34.2706639;-6.6108697;+212612037788;Chaabi Cash K-Business;M2T;34592-B-7;1;DM220497837;+212612037788;;;0
LOT LE VALLON N 2127 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;16:44;M2T;701206;34.266994;-6.60389;+212621390951;ESSAYAD;CASH PLUS;34592-B-7;1;DM220497837;+212621390951;;;0
Avenue Ahmed Chaouki Ville Haute 14036 KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;17:02;M2T;083753;34.265242;-6.593117;+212700613379;BC KENITRA VILLE HAUTE;BARID CASH;34592-B-7;1;DM220497837;+212700613379;;;0
N°10, Avenue Moulay Abdelaziz Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;17:13;M2T;701369;34.260559;-6.587522;+212537375191;EUROSOL KENITRA;CASH PLUS;34592-B-7;1;DM220497837;+212537375191;;;0
53 Rond Point Hay Salam Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;006167;23.69067;-15.9505;+212661207497;Chaabi Cash Najla de Commerce et Services;M2T;11980 - A - 73;1;DM220497837;+212661207497;;;0
Hay Errahma Angle Avenue Mohamed Fadel Et Avenue Bahnini Dakhla Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:06;M2T;000569;23.6903;-15.94677;+212671116719;Chaabi Cash M2t- Dakhla;M2T;11980 - A - 73;1;DM220497837;+212671116719;;;0
HAY ESSALAM Dakhla;Monsif  Akkaoui;;;;;10:00-19:00;;18/04/2022;5;;10:37;M2T;701848;23.70167;-15.94799;+212706821565;DAKHAL HAY ESSALAM;CASH PLUS;11980 - A - 73;1;DM220497837;+212706821565;;;0
