Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume;rejection
Rue 325 N41 La Cigogne Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;004830;34.2603828;-6.5680867;+212665629266;Chaabi Cash Tasshilat Alhanaa;M2T;34592-B-7;1;DM220497837;+212665629266;;;0;date de depart non conforme
19 C AL HIZAM MAG N 5 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:10;M2T;701524;34.254456;-6.55523;+212669034341;ALALMA;CASH PLUS;34592-B-7;1;DM220497837;+212669034341;;;0;date de depart non conforme
33 N°2 AV LA MARCHE VERTE Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:23;M2T;700049;34.2516142;-6.5538195;+212699446929;CITY UNIVERSITAIRE;CASH PLUS;34592-B-7;1;DM220497837;+212699446929;;;0;date de depart non conforme
00 SAKNIA HAY ALWAFAA 1 IMMEUBLE N°899 1er étage Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;10:33;;;34.2498709;-6.5573217;+212661971003;inwi, MOUHCINE WATIQ;;34592-B-7;1;;+212661971003;;;0;Hub n'est pas egale a M2T
Quartier administratif N61Local N1 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:40;M2T;700465;34.247185;-6.553676;+212537313495;La marche verte;CASH PLUS;34592-B-7;1;DM220497837;+212537313495;;;0;date de depart non conforme
AL OUAFAA 01 N 518 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:53;M2T;701717;34.2345625;-6.5503125;+212661116880;Kenitra El Wafa;CASH PLUS;34592-B-7;1;DM220497837;+212661116880;;;0;date de depart non conforme
Magasin N7 Rdc Immeuble Angle Rue Ibn Batouta Et Rue Saad Zaghloul Kenitra Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;10:58;M2T;004861;34.23452;-6.55036;+212623731949;Chaabi Cash soliste Innov;M2T;34592-B-7;1;DM220497837;+212623731949;;;0;date de depart non conforme
Rue Elmanzeh Tranch AN° 364 Elfouarat Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:20;M2T;700427;34.2524;-6.52223;+212537383678;KENELFOUARAT;CASH PLUS;34592-B-7;1;DM220497837;+212537383678;;;0;date de depart non conforme
123 AVE MED 5 Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:50;M2T;701995;34.271129;-6.559399;+212537321390;KENITRA MED 5;CASH PLUS;34592-B-7;1;DM220497837;+212537321390;;;0;date de depart non conforme
Nø367 Bloc K Oulad Oujih 14000 KENITRA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;11:55;M2T;083687;34.27108;-6.5595;+212700087059;BC KENITRA OULAD OUJIH;BARID CASH;34592-B-7;1;DM220497837;+212700087059;;;0;date de depart non conforme
IMMEUBLE H N 41 ANGLE AV MED 5 ET ROUTE 206 ARSA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:02;M2T;701024;34.268174;-6.562821;+212644508530;Bab fes;CASH PLUS;34592-B-7;1;DM220497837;+212644508530;;;0;date de depart non conforme
RUE AMIRA AICHA N 18 Centre ville Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:07;M2T;700645;34.26802;-6.56383;+212661170182;Place municipalite;CASH PLUS;34592-B-7;1;DM220497837;+212661170182;;;0;date de depart non conforme
115 Bd Mohamed V Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;12:14;M2T;700344;34.2658;-6.56404;+212537377378;KHABBAZAT;CASH PLUS;34592-B-7;1;DM220497837;+212537377378;;;0;date de depart non conforme
464 avenue Mohamed 5 kenitra Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:28;;;34.2568148;-6.5926667;+212661207825;QITAB, dr tahiri larbi;;34592-B-7;1;;+212661207825;;;0;Hub n'est pas egale a M2T
00 JNANE 2 N 301 B301IR RAMI Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:35;;;34.2540503;-6.5890166;+212678036583;inwi, EL MEHDI OULADLMAROUDIA;;34592-B-7;1;;+212678036583;;;0;Hub n'est pas egale a M2T
00 LOTIS BRIKA NR 219 ETGAE ID Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:40;;;34.2540503;-6.5890166;+212643760311;inwi, GHIZLANE MOUSSAHI;;34592-B-7;1;;+212643760311;;;0;Hub n'est pas egale a M2T
angle omar el mokhtar el idrissi akbar 3eme etage appt 21 res Imane 40 imm B kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:45;;;34.2540503;-6.5890166;+212698726672;ASK SHOP, Zineb Douich;;34592-B-7;1;;+212698726672;;;0;Hub n'est pas egale a M2T
Brikat Brikat 00 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:50;;;34.2540503;-6.5890166;+212664668871;Moroccan Bazaar, Imane Mekkaoui;;34592-B-7;1;;+212664668871;;;0;Hub n'est pas egale a M2T
Cabinet vétérinaire,25 Avenue Yaacoub Al Mansour,Résidence Al Yasamine,Plateau N°1(AVANCE 200 DH RESTE DE PRIX 3000 DH ) 1 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;12:55;;;34.2540503;-6.5890166;+212662615269;AVITO, Soumia Boudbagh;;34592-B-7;1;;+212662615269;;;0;Hub n'est pas egale a M2T
kenitra 00 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;13:00;;;34.2540503;-6.5890166;+212666081595;SAID OUNIR, ro9aya eremid;;34592-B-7;1;;+212666081595;;;0;Hub n'est pas egale a M2T
00 GROUPE EL FARAJ NO 78 Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;13:05;;;34.2540503;-6.5890166;+212666786256;inwi, HADDAOUI LARBI;;34592-B-7;1;;+212666786256;;;0;Hub n'est pas egale a M2T
MAGAZIN N7 RUE MISR ET RUE ZEMZEM MIMOSA IMM SOUHA Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:12;M2T;701727;34.253171;-6.595009;+212643078562;MIMOSA MAHKAMA;CASH PLUS;34592-B-7;1;DM220497837;+212643078562;;;0;date de depart non conforme
RUE 10 N 284 BIR RAMI OUESTAlmaghreb arabi Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:23;M2T;700976;34.25573;-6.60342;+212661607913;MASJID BADR;CASH PLUS;34592-B-7;1;DM220497837;+212661607913;;;0;date de depart non conforme
Magasin N6 Rdc Immeuble 05 Bloc Gh2 Bir Rami Kenitra Kenitra Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;13:36;M2T;004855;34.2451862;-6.6148453;+212661560119;Chaabi Cash Qorelain;M2T;34592-B-7;1;DM220497837;+212661560119;;;0;date de depart non conforme
00 LOTISSEMENT SALIMA N 50 BIR RAMI Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;13:58;;;34.22276980000001;-6.6304104;+212666279405;inwi, IMANE IBN-JELLAL;;34592-B-7;1;;+212666279405;;;0;Hub n'est pas egale a M2T
00 N 265 OULED MBAREK BIR RAMI Kénitra; Ahmed Timezguid;;;;;09:00-17:00;;18/04/2022;5;;14:03;;;34.2227178;-6.6304362;+212695612545;inwi, FATIMA ZAHRA ZAHA;;34592-B-7;1;;+212695612545;;;0;Hub n'est pas egale a M2T
centre commercial (mehdia mall) n du magazin 24 al Kénitra; Ahmed Timezguid;;;;;10:00-19:00;;18/04/2022;5;;14:31;M2T;701137;34.2464375;-6.6555625;+212678847623;MEHDIA MALL KENITRA;CASH PLUS;34592-B-7;1;DM220497837;+212678847623;;;0;date de depart non conforme
