LOCALITE;0;1;2;3;4;5
Agence dakhla;1;1;1;1;1;1
Agence laayoune;1;1;1;1;1;1
Agadir;1;1;1;1;1;1
Biougra;1;0;1;0;1;0
Ait melloul;1;1;1;1;1;1
Houara;1;0;1;0;1;0
Ait amira;1;0;1;0;1;0
Taghazout;0;1;0;0;0;0
Ait baha;0;0;0;1;0;0
Ait daoud;0;1;0;0;0;0
Aourir;1;1;1;1;1;1
Dcheira el jihadia;1;1;1;1;1;1
Drargua;1;1;1;1;1;1
Imouzzer des ida outanane;0;1;0;0;0;0
Inezgane;1;1;1;1;1;1
Lqliaa;1;0;1;0;1;0
Oulad teima;1;0;1;0;1;0
Tamanar;0;1;0;0;0;0
Temsia;1;1;1;1;1;1
Lagfifat;1;0;1;0;1;0
Sidi bibi;1;0;1;0;1;0
Belfaa;1;0;1;0;1;0
Argana;0;0;0;0;0;1
Agence taroudant;1;1;1;1;1;1
Imsouane;0;1;0;0;0;0
Anza;1;1;1;1;1;1
Tin mansour;1;0;1;0;1;0
Tikiouine;1;1;1;1;1;1
Chtouka ait baha;0;0;0;1;0;0
Tamri;0;1;0;0;0;0
Amskroud;1;0;0;1;0;1
Tamait;1;1;1;1;1;1
Bensergao;1;1;1;1;1;1
Tadrart;0;1;0;0;0;0
Ida ougnidif;0;0;0;1;0;0
Tamraght;0;1;0;0;0;0
Ait boutayeb;1;0;1;0;1;0
Akesri;0;1;0;0;0;0
Agence tiznit;1;1;1;1;1;1
Agence guelmim;1;1;1;1;1;1
Douira;1;1;1;1;1;1
Beni mellal;1;1;1;1;1;1
Fkih ben salah;0;1;0;0;0;0
Kasba tadla;0;0;0;0;0;1
Sidi jaber;0;0;0;0;1;0
Imilchil;0;0;1;0;0;0
Aghbala;0;0;1;0;0;0
Souk sebt oulad nemma;0;1;0;0;0;0
Ouaouizeght;1;0;0;0;0;0
Ait ishaq;0;0;0;0;0;1
Azilal;0;0;0;1;0;0
Bradia;0;0;0;0;1;0
Bzou;0;0;0;1;0;0
Dar ould zidouh;0;0;0;0;1;0
El ksiba;0;0;1;0;0;0
Foum jamaa;0;0;0;1;0;0
Oulad ayad;0;0;0;0;1;0
Oulad m'barek;0;0;0;0;1;0
Oulad mrah;0;1;0;0;0;0
Oulad yaich;0;0;0;0;0;1
Zaouiat cheikh;0;0;0;0;0;1
Ouled moussa;0;0;0;0;1;0
Taghzirt;0;0;1;0;0;0
Ait attab;1;0;0;0;0;0
Oulad youssef;0;1;0;0;0;0
Tizi nisli;0;0;1;0;0;0
Sidi aissa;0;1;0;0;0;0
Oulad mbarek;0;0;0;0;1;0
Ouaoumana;0;0;0;0;0;1
Sidi hammadi;0;0;0;1;0;0
Bin el ouidane;1;0;0;0;0;0
Ahl merbaa;0;0;0;0;1;0
Tanant;0;0;0;1;0;0
Tabant;0;0;0;1;0;0
Ouzoud;1;0;0;0;0;0
Bou moussa;0;0;0;0;1;0
Oulad zmam;0;1;0;0;0;0
Ghorm el alem;0;0;1;0;0;0
Douar jdid;0;1;0;0;0;0
Beni ayat;1;0;0;0;0;0
Ait m'hamed;0;0;0;1;0;0
Moulay aissa ben driss;1;0;0;0;0;0
Wawla;0;0;0;1;0;0
Ait taguella;1;0;0;0;0;0
Timoulilte;1;0;0;0;0;0
Tagelft;0;0;0;1;0;0
Afourar;1;0;0;0;0;0
Tanougha;0;0;1;0;0;0
Foum oudi;0;0;0;0;1;0
Foum el ansar;0;0;1;0;0;0
Ighrem laalam;0;0;1;0;0;0
Ouaoula;0;0;0;1;0;0
Taounza;1;0;0;0;0;0
Beni oukil;0;0;0;0;1;0
Beni chegdale;0;0;0;0;1;0
Oulad bourahmoun;0;1;0;0;0;0
Tilouguite;1;0;0;0;0;0
Ouled abdellah;0;1;0;0;0;0
Krifate;0;1;0;0;0;0
Ouled gnaou;0;1;0;0;0;0
Outerbat;0;0;1;0;0;0
Beni amer;0;1;0;0;1;0
Berkane;1;1;1;1;1;1
Ahfir;1;0;0;1;0;0
Ain erreggada;1;0;0;1;0;0
Aklim;0;1;0;0;1;0
Madagh;1;0;0;1;0;0
Saidia;1;0;0;1;0;0
Sidi Slimane Echcharaa;0;1;0;0;1;0
Laatamna;1;0;0;1;0;0
Zegzel;0;1;0;0;1;0
Tafoughalt;0;1;0;0;1;0
Chwihia;0;1;0;0;1;0
Tazaghine;0;1;0;0;1;0
Aghbal;1;0;0;1;0;0
Casablanca;1;1;1;1;1;1
Dar bouazza;1;0;1;0;1;0
Bouskoura;1;1;1;1;1;1
Had soualem;1;0;1;0;1;0
Ain harrouda;1;1;1;1;1;1
